Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
149,Nepal,221,"Almonds, with shell",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,74405,,79974,,82693,,86634,,85790,,90080,,110798,,124550.4,F,128211,F,165143.8,F,284722.2,,293263.9,,298260,,301839.1,,305461.2,,297405.5,,291457.4,
149,Nepal,221,"Almonds, with shell",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,74405,,79974,,82693,,86634,,85790,,90080,,110798,,124550.4,F,128211,F,165143.8,F,284722.2,,293263.9,,298260,,301839.1,,305461.2,,297405.5,,291457.4,
149,Nepal,221,"Almonds, with shell",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,992.7,,1026.9,,1086,,1175.9,,1202.1,,1238.1,,1668.3,,1785.4,F,1652.8,F,2254.1,F,3846.6,,3442.2,,3207.3,,3029.7,,2975.9,,2767.6,,2789.9,
149,Nepal,515,Apples,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,27249,,27662,,29033,,30471,,28813,,30320,,32442,,36137.4,,53794,,71008.1,,62000,,65000,,67489.9,,68299.8,,69119.4,,69761.1,,76039.6,
149,Nepal,515,Apples,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,27249,,27662,,29033,,30471,,28813,,30320,,32442,,36137.4,,53794,,71008.1,,62000,,65000,,67489.9,,68299.8,,69119.4,,69761.1,,76039.6,
149,Nepal,515,Apples,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,363.6,,355.2,,381.3,,413.6,,403.7,,416.7,,488.5,,518,,693.5,,969.2,,837.6,,762.9,,725.7,,685.6,,673.4,,649.2,,727.9,
149,Nepal,526,Apricots,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,20622,,22855,,19949,,21775,,25119,,22936,,24541,,27587.1,F,40692.8,,53714.5,,52900,,41100,,49240,,49830.9,,50428.8,,50897.1,,55477.8,
149,Nepal,526,Apricots,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,20622,,22855,,19949,,21775,,25119,,22936,,24541,,27587.1,F,40692.8,,53714.5,,52900,,41100,,49240,,49830.9,,50428.8,,50897.1,,55477.8,
149,Nepal,526,Apricots,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,275.1,,293.5,,262,,295.6,,352,,315.2,,369.5,,395.4,F,524.6,,733.2,,714.7,,482.4,,529.5,,500.2,,491.3,,473.6,,531,
149,Nepal,226,Areca nuts,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,24919,,26182,,24788,,26892,,25853,,27500,,33825,,38023.4,F,39140.9,F,50416,F,52500,,53500,,55650,,56317.8,,56993.6,,55490.6,,54380.7,
149,Nepal,226,Areca nuts,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,24919,,26182,,24788,,26892,,25853,,27500,,33825,,38023.4,F,39140.9,F,50416,F,52500,,53500,,55650,,56317.8,,56993.6,,55490.6,,54380.7,
149,Nepal,226,Areca nuts,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,332.5,,336.2,,325.6,,365,,362.3,,378,,509.3,,545,F,504.6,F,688.2,F,709.3,,628,,598.4,,565.3,,555.3,,516.4,,520.5,
149,Nepal,486,Bananas,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,16527,,20023,,18596,,18263,,18191,,17523,,18749,,20884.9,,31089.2,,41037.7,,25500,,27000,,27000,,27324,,27651.9,,27908.6,,30420.4,
149,Nepal,486,Bananas,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,16527,,20023,,18596,,18263,,18191,,17523,,18749,,20884.9,,31089.2,,41037.7,,25500,,27000,,27000,,27324,,27651.9,,27908.6,,30420.4,
149,Nepal,486,Bananas,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,220.5,,257.1,,244.2,,247.9,,254.9,,240.8,,282.3,,299.4,,400.8,,560.1,,344.5,,316.9,,290.3,,274.3,,269.4,,259.7,,291.2,
149,Nepal,44,Barley,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15381.1,,17016.1,,21502,,22250,,22974.6,,23880,,25790,,27854,,28700.4,,29039,
149,Nepal,44,Barley,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15381.1,,17016.1,,21502,,22250,,22974.6,,23880,,25790,,27854,,28700.4,,29039,
149,Nepal,44,Barley,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.5,,219.4,,293.5,,300.6,,269.7,,256.8,,258.9,,271.4,,267.1,,278,
149,Nepal,89,Buckwheat,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,38000,,38000,,41040,,44323,,45670.6,,46209.5,
149,Nepal,89,Buckwheat,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000,,38000,,38000,,41040,,44323,,45670.6,,46209.5,
149,Nepal,89,Buckwheat,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.3,,446,,408.6,,411.9,,431.8,,425,,442.3,
149,Nepal,191,Chick peas,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,34034,,34476,,34791,,36584,,38029,,40792,,48950,,55478.4,,83088.9,,83088.9,,73250,,77000.4,,77000,,77924,,78859,,93154.9,,96345.5,
149,Nepal,191,Chick peas,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,34034,,34476,,34791,,36584,,38029,,40792,,48950,,55478.4,,83088.9,,83088.9,,73250,,77000.4,,77000,,77924,,78859,,93154.9,,96345.5,
149,Nepal,191,Chick peas,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,454.1,,442.7,,456.9,,496.6,,532.9,,560.7,,737,,795.3,,1071.1,,1134.1,,989.6,,903.8,,828,,782.2,,768.3,,866.9,,922.2,
149,Nepal,689,"Chillies and peppers, dry",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,23615,,23022,,23887,,28078,,24030,,23870,,29360,,,,,,,,,,,,,,,,,,,,,
149,Nepal,689,"Chillies and peppers, dry",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,23615,,23022,,23887,,28078,,24030,,23870,,29360,,,,,,,,,,,,,,,,,,,,,
149,Nepal,689,"Chillies and peppers, dry",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,315.1,,295.6,,313.7,,381.1,,336.7,,328.1,,442.1,,,,,,,,,,,,,,,,,,,,,
149,Nepal,401,"Chillies and peppers, green",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,99050,,87793,,104537,,110143,,106825,F,103507,,101083,,106666,,119176,,123268,,75948.4,F,28628.8,,49104.6,,66782.3,,74098.4,,76321.4,,119100,,120529,,,,,,,
149,Nepal,401,"Chillies and peppers, green",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,99050,,87793,,104537,,110143,,106825,F,103507,,101083,,106666,,119176,,123268,,75948.4,F,28628.8,,49104.6,,66782.3,,74098.4,,76321.4,,119100,,120529,,,,,,,
149,Nepal,401,"Chillies and peppers, green",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,1707.5,,1330.7,,1531.9,,1549.3,,1425.3,F,1329.1,,1327.6,,1447.8,,1669.9,,1694.3,,1143.5,F,410.4,,633,,911.5,,1001.1,,895.8,,1280.7,,1209.8,,,,,,,
149,Nepal,249,Coconuts,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,,90000,,90000,,91080,,92173,,89742.1,,87947.3,
149,Nepal,249,Coconuts,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90000,,90000,,90000,,91080,,92173,,89742.1,,87947.3,
149,Nepal,249,Coconuts,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.9,,1056.4,,967.8,,914.2,,898,,835.1,,841.9,
149,Nepal,656,"Coffee, green",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,85000,,90000,,90000,,95000,,97680,,100430,,106456,,108159.1,,108000,,108000,,108000,,112361.3,,113936.1,,131824.1,,152520.5,,158447.8,,163835,
149,Nepal,656,"Coffee, green",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,85000,,90000,,90000,,95000,,97680,,100430,,106456,,108159.1,,108000,,108000,,108000,,112361.3,,113936.1,,131824.1,,152520.5,,158447.8,,163835,
149,Nepal,656,"Coffee, green",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,1134.1,,1155.7,,1182,,1289.5,,1368.7,,1380.4,,1602.9,,1550.4,,1392.2,,1474.2,,1459.1,,1318.8,,1225.2,,1323.2,,1485.9,,1474.5,,1568.3,
149,Nepal,767,Cotton lint,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,41179,,52547,,49573,,45358,,55445,,60000,,68400,,70924.5,,83404,,48327.3,,50000,,50000,,62000,,71300,,81995,,85181.5,,88099,
149,Nepal,767,Cotton lint,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,41179,,52547,,49573,,45358,,55445,,60000,,68400,,70924.5,,83404,,48327.3,,50000,,50000,,62000,,71300,,81995,,85181.5,,88099,
149,Nepal,767,Cotton lint,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,549.4,,674.7,,651.1,,615.7,,776.9,,824.7,,1029.9,,1016.7,,1075.2,,659.6,,675.5,,586.9,,666.7,,715.7,,798.8,,792.7,,843.3,
149,Nepal,329,Cottonseed,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,2058.9,Fc,2627.4,Fc,2478.6,Fc,2267.9,Fc,2772.3,Fc,3000,Fc,3420,Fc,3546.2,Fc,4170.2,Fc,2416.4,Fc,2549,Fc,3100,Fc,3100,Fc,3565,Fc,4099.8,Fc,4259.1,Fc,,
149,Nepal,329,Cottonseed,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,2058.9,Fc,2627.4,Fc,2478.6,Fc,2267.9,Fc,2772.3,Fc,3000,Fc,3420,Fc,3546.2,Fc,4170.2,Fc,2416.4,Fc,2549,Fc,3100,Fc,3100,Fc,3565,Fc,4099.8,Fc,4259.1,Fc,,
149,Nepal,329,Cottonseed,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,27.5,Fc,33.7,Fc,32.6,Fc,30.8,Fc,38.8,Fc,41.2,Fc,51.5,Fc,50.8,Fc,53.8,Fc,33,Fc,34.4,Fc,36.4,Fc,33.3,Fc,35.8,Fc,39.9,Fc,39.6,Fc,,
149,Nepal,1062,"Eggs, hen, in shell",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,76000,,78500,,83180,,86840,,89800,,90500,,93000,,93120,,100440,,99580,,103360,,80370.1,,109663.7,,136000,,172000,,206000,,210000,,211260,,212520,,238760,,257383.5,
149,Nepal,1062,"Eggs, hen, in shell",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,76000,,78500,,83180,,86840,,89800,,90500,,93000,,93120,,100440,,99580,,103360,,80370.1,,109663.7,,136000,,172000,,206000,,210000,,211260,,212520,,238760,,257383.5,
149,Nepal,1062,"Eggs, hen, in shell",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,1310.1,,1189.8,,1218.9,,1221.5,,1198.1,,1162.1,,1221.4,,1264,,1407.4,,1368.7,,1556.3,,1152.1,,1413.7,,1856.3,,2323.7,,2417.9,,2258.2,,2120.5,,2070.4,,2221.8,,2463.7,
149,Nepal,1091,"Eggs, other bird, in shell",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,77295,*,90680,F,91682,F,99281.5,F,104586.3,F,109748.2,F,118524.8,F,133236.2,F,137152.1,F,176660.5,F,266000,,314000,,314000,,315884,,317780,,357000,,384849.6,
149,Nepal,1091,"Eggs, other bird, in shell",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,77295,*,90680,F,91682,F,99281.5,F,104586.3,F,109748.2,F,118524.8,F,133236.2,F,137152.1,F,176660.5,F,266000,,314000,,314000,,315884,,317780,,357000,,384849.6,
149,Nepal,1091,"Eggs, other bird, in shell",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,1031.3,*,1164.4,F,1204.1,F,1347.6,F,1465.5,F,1508.5,F,1784.6,F,1909.9,F,1768,F,2411.3,F,3593.6,,3685.6,,3376.6,,3170.7,,3095.9,,3322.2,,3683.9,
149,Nepal,512,"Fruit, citrus nes",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,24493,,24784,,24907,,26295,,30915,,29746,,31828,,35778.5,F,36830.1,F,47439.5,F,27200,,29700,,30450,,30815.4,,31185.2,,31474.7,,34307.4,
149,Nepal,512,"Fruit, citrus nes",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,24493,,24784,,24907,,26295,,30915,,29746,,31828,,35778.5,F,36830.1,F,47439.5,F,27200,,29700,,30450,,30815.4,,31185.2,,31474.7,,34307.4,
149,Nepal,512,"Fruit, citrus nes",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,326.8,,318.2,,327.1,,356.9,,433.2,,408.8,,479.2,,512.9,F,474.8,F,647.5,F,367.5,,348.6,,327.4,,309.3,,303.8,,292.9,,328.4,
149,Nepal,619,"Fruit, fresh nes",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,6000,,9913,F,10956,F,12000,,13237,,13374,,14838,,20531,,19561,,19011,,21367,,,,,,,,,,,,,,,,,,,,,
149,Nepal,619,"Fruit, fresh nes",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,6000,,9913,F,10956,F,12000,,13237,,13374,,14838,,20531,,19561,,19011,,21367,,,,,,,,,,,,,,,,,,,,,
149,Nepal,619,"Fruit, fresh nes",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,103.4,,150.3,F,160.6,F,168.8,,176.6,,171.7,,194.9,,278.7,,274.1,,261.3,,321.7,,,,,,,,,,,,,,,,,,,,,
149,Nepal,406,Garlic,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,36030,,36770,,32720,,34030,,33700,,33643,,41381,,40350.7,,69210.1,,77125.8,,84263.1,,73900,,73900,,74786.8,,75684.2,,73688.3,,72214.5,
149,Nepal,406,Garlic,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,36030,,36770,,32720,,34030,,33700,,33643,,41381,,40350.7,,69210.1,,77125.8,,84263.1,,73900,,73900,,74786.8,,75684.2,,73688.3,,72214.5,
149,Nepal,406,Garlic,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,480.7,,472.2,,429.7,,461.9,,472.2,,462.4,,623.1,,578.4,,892.2,,1052.7,,1138.4,,867.4,,794.7,,750.7,,737.3,,685.7,,691.3,
149,Nepal,720,Ginger,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,30626,,27333,,28623,,38950,,29980,,50000,,28400,,28541,,56751,,49334,,38064,,19823.3,,34001.3,,46241.8,,43500,,41600,,43780,,44305.4,,44837,,43654.6,,42781.5,
149,Nepal,720,Ginger,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,30626,,27333,,28623,,38950,,29980,,50000,,28400,,28541,,56751,,49334,,38064,,19823.3,,34001.3,,46241.8,,43500,,41600,,43780,,44305.4,,44837,,43654.6,,42781.5,
149,Nepal,720,Ginger,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,527.9,,414.3,,419.4,,547.9,,400,,642,,373,,387.4,,795.2,,678.1,,573.1,,284.2,,438.3,,631.2,,587.7,,488.3,,470.8,,444.7,,436.8,,406.2,,409.5,
149,Nepal,1182,"Honey, natural",5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,174648,,177299,,186081,,200994,,190058,,200000,,214000,,228980,,289300,,290000,,279400,,313900,,330848.2,,380475.4,,437546.7,,464648.5,,480446.6,
149,Nepal,1182,"Honey, natural",5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,174648,,177299,,186081,,200994,,190058,,200000,,214000,,228980,,289300,,290000,,279400,,313900,,330848.2,,380475.4,,437546.7,,464648.5,,480446.6,
149,Nepal,1182,"Honey, natural",5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,2330.2,,2276.7,,2443.9,,2728.2,,2663.1,,2748.9,,3222.2,,3282.3,,3729.4,,3958.4,,3774.7,,3684.4,,3557.8,,3819.1,,4262.7,,4323.9,,4598.9,
149,Nepal,780,Jute,5530,Producer Price (LCU/tonne),LCU,,,,,7740,,8970.6,F,10201.2,F,11431.8,F,12662.4,F,13893,F,15123.7,F,16354.3,F,21420,,21420,,22000,,22000,,22000,,21710,,24749,,25328.3,,29785,,32614.5,,29000,,32000,,32000,,36800,,42320,,43964.7,,45470.4,
149,Nepal,780,Jute,5531,Producer Price (SLC/tonne),SLC,,,,,7740,,8970.6,F,10201.2,F,11431.8,F,12662.4,F,13893,F,15123.7,F,16354.3,F,21420,,21420,,22000,,22000,,22000,,21710,,24749,,25328.3,,29785,,32614.5,,29000,,32000,,32000,,36800,,42320,,43964.7,,45470.4,
149,Nepal,780,Jute,5532,Producer Price (USD/tonne),USD,,,,,159.2,,181.6,F,196.6,F,201.6,F,218.3,F,210.6,F,221.6,F,230,F,285.8,,275.1,,288.9,,298.6,,308.3,,298.4,,372.6,,363.1,,384,,445.2,,391.8,,375.6,,344.1,,369.4,,412.3,,409.1,,435.3,
149,Nepal,497,Lemons and limes,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,11650,,11950,,12005,,13810,,14647,,15250,,16318,,71893.5,,107020.3,,141266.8,,24200,,27700,,28450,,28791.4,,29136.9,,29407.4,,32054.1,
149,Nepal,497,Lemons and limes,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,11650,,11950,,12005,,13810,,14647,,15250,,16318,,71893.5,,107020.3,,141266.8,,24200,,27700,,28450,,28791.4,,29136.9,,29407.4,,32054.1,
149,Nepal,497,Lemons and limes,5532,Producer Price (USD/tonne),USD,,,,,,,,,,,,,,,,,,,,,155.4,,153.4,,157.7,,187.4,,205.2,,209.6,,245.7,,1030.6,,1379.6,,1928.2,,326.9,,325.1,,305.9,,289,,283.9,,273.7,,306.8,
149,Nepal,201,Lentils,5530,Producer Price (LCU/tonne),LCU,,,10160,,17777.5,F,25395,F,33012.5,F,40630,F,15000,,20000,,20000,,21000,,22000,,37000,,30300,,43040,,44745,,47993,,52278,,68002.4,,101845.8,,101845.8,,73250,,77000.4,,77000,,77924,,78859,,93154.9,,96345.5,
149,Nepal,201,Lentils,5531,Producer Price (SLC/tonne),SLC,,,10160,,17777.5,F,25395,F,33012.5,F,40630,F,15000,,20000,,20000,,21000,,22000,,37000,,30300,,43040,,44745,,47993,,52278,,68002.4,,101845.8,,101845.8,,73250,,77000.4,,77000,,77924,,78859,,93154.9,,96345.5,
149,Nepal,201,Lentils,5532,Producer Price (USD/tonne),USD,,,237.8,,365.7,F,514.1,F,636.2,F,716.7,F,258.6,,303.1,,293.1,,295.4,,293.5,,475.1,,397.9,,584.2,,627,,659.6,,787.1,,974.8,,1312.9,,1390.2,,989.6,,903.8,,828,,782.2,,768.3,,866.9,,922.2,
149,Nepal,333,Linseed,5530,Producer Price (LCU/tonne),LCU,,,,,,,,,,,,,,,,,,,,,23405,,25906,,30371,,34107,,34584,,37420,,42658,,43656.2,,46000,,52000,,52900,,57500,,59450,,68367.5,,78622.6,,81417.1,,84205.6,
149,Nepal,333,Linseed,5531,Producer Price (SLC/tonne),SLC,,,,,,,,,,,,,,,,,,,,,23405,,25906,,30371,,34107,,34584,,37420,,42658,,43656.2,,46000,,52000,,52900,,57500,,59450,,68367.5,,78622.6,,81417.1,,84205.6,
